period_end,period,scope_type,scope,job,salary_wan_month,source,source_url
2026-03-31,2026Q1,region,京津冀,短视频运营,0.77,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,京津冀,算法工程师,2.14,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,京津冀,网络工程师,1.10,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,京津冀,网络销售员,1.03,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,京津冀,自动化工程师,0.95,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,京津冀,设备维护工程师,0.75,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,京津冀,运维工程师,0.99,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,珠三角,Java开发工程师,1.87,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,珠三角,产品经理,1.79,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,珠三角,前端开发工程师,1.45,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,珠三角,国内电商运营,0.87,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,珠三角,嵌入式软件开发工程师,1.91,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,珠三角,数据分析师,1.21,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,珠三角,新媒体运营,0.82,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,珠三角,电气工程师,1.20,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,珠三角,短视频运营,0.84,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,珠三角,硬件工程师,1.63,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,珠三角,网络销售员,0.94,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,珠三角,自动化工程师,1.05,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,珠三角,设备维护工程师,0.99,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,珠三角,运维工程师,1.11,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,长三角,C#开发工程师,1.53,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,长三角,CAD设计/制图工程师,0.81,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,长三角,Java开发工程师,1.89,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,长三角,产品经理,1.72,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,长三角,前端开发工程师,1.46,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,长三角,国内电商运营,0.94,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,长三角,嵌入式软件开发工程师,1.95,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,长三角,新媒体运营,0.89,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,长三角,电子/电器维修/保养工程师,0.93,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,长三角,电气工程师,1.24,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,长三角,硬件工程师,1.69,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,长三角,硬件测试工程师,1.11,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,长三角,算法工程师,2.19,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,长三角,网络工程师,1.08,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,长三角,自动化工程师,0.97,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,长三角,设备维护工程师,1.04,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,长三角,运维工程师,1.07,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
